Location[a],Location[a].1,Cases[b],Deaths[c],Recov.[d],Ref.
,Cayman Islands,187,1,115,[216]
,Faroe Islands,187,0,187,[217]
,Suriname,187,3,26,[218][219]
,Guam[ag],184,5,168,[9][220]
,Gibraltar,176,0,172,[221]
,Syria[aq],164,6,68,[222]
,Comoros,163,2,97,[223]
,Guyana,159,12,95,[224]
,Costa Atlantica,148,0,0,[225]
,Bermuda,141,9,127,[226]
,Brunei,141,2,138,[227][228]
,Angola,130,5,42,[229]
,Greg Mortimer[aj],128,1,No data,[230][231]
,Cambodia,126,0,125,[232][233]
,Trinidad and Tobago,117,8,109,[234]
,Northern Cyprus[ar],108,4,104,[235]
,Bahamas,103,11,68,[236]
,Aruba,101,3,98,[237]
,Monaco,99,4,93,[238]
,Barbados,96,7,83,[239]
,Burundi,85,1,45,[240]
,Liechtenstein,82,1,55,[241][242]
,Sint Maarten,77,15,61,[243]
,South Ossetia[as],72,0,36,[244]
,U.S. Virgin Islands,72,6,64,[245]
,Artsakh[at],68,0,43,[244]
,Bhutan,62,0,18,[246]
,French Polynesia,60,0,60,[247]
,Botswana,60,1,24,[248]
,Macau,45,0,45,[249]
,Eritrea,39,0,39,[250]
,Abkhazia[au],36,1,27,[244]
,Namibia,32,0,17,[251]
,Northern Mariana Islands,30,2,19,[252]
,The Gambia,28,1,22,[253]
,Saint Vincent[av],27,0,25,[254][255]
,Antigua and Barbuda,26,3,20,[256][257]
,East Timor,24,0,24,[258]
,Grenada,23,0,22,[259][260]
,Curaçao,22,1,16,[261]
,New Caledonia,21,0,20,[262]
,Belize,20,2,16,[263]
,Laos,19,0,19,[264]
,Saint Lucia,19,0,18,[265][266]
,Fiji,18,0,18,[267]
,Dominica,18,0,16,[268]
,Saint Kitts and Nevis,15,0,15,[269]
,Falkland Islands,13,0,13,[270]
,Greenland,13,0,13,[271]
,MS Zaandam[aw],13,4,No data,[274][275]
,Coral Princess[ax],12,2,No data,[277]
,Turks and Caicos Islands,12,1,10,[278]
,Vatican City,12,0,12,[279]
,Montserrat,11,1,10,[280]
,Seychelles,11,0,11,[281]
,British Virgin Islands,8,1,7,[282]
,HNLMS Dolfijn[ay],8,0,No data,[283]
,Papua New Guinea,8,0,8,[286]
,Lesotho,4,0,2,[287]
,Anguilla,3,0,3,[288]
,Saba,3,0,3,[289]
,Bonaire,2,0,2,[290]
,Sint Eustatius,2,0,2,[291]
,Saint Pierre and Miquelon,1,0,1,[292]
